album_id,title,artist_id,
156,And Justice,50,
208,Black Light,136,
257,20th Centu,179,
296,A Copland,230,
94,A Matter o,90,
95,A Real Dea,90,
96,A Real Live,90,
285,A Soprano,219,
139,A Tempest,99,
224,Acastico,146,
167,Acastico M,113,
26,Acastico M,19,
160,Ace Of Spa,106,
232,Achtung Ba,150,
307,"Adams, Joh",242,
272,Adorate De,206,
24,Afrociberd,18,
74,Album Of T,82,
14,Alcohol Fu,11,
15,Alcohol Fu,11,
233,All That Yo,150,
273,Allegri: Mis,207,
89,American I,54,
75,Angel Dust,82,
248,Ao Vivo [im,155,
90,Appetite fo,88,
254,Aquaman,159,
120,Are You Ex,94,
319,Armada: M,251,
168,Arquivo II,113,
169,Arquivo Os,113,
85,As Can√ß√,27,
203,A-Sides,132,
10,Audioslave,8,
29,AxA Bahia,21,
277,Bach: Gold,211,
327,Bach: Orch,257,
300,Bach: The,234,
278,Bach: The,212,
297,Bach: Tocc,231,
276,Bach: Violi,210,
321,Back to Bla,252,
12,BackBeat S,9,
2,Balls to the,2,
170,Bark at the,114,
325,Bartok: Vio,255,
145,Barulhinho,,103
253,Battlestar,,158
227,Battlestar,,147
226,Battlestar,,147
30,BBC Sessio,,22
127,BBC Sessio,,22
304,Beethoven,,238
284,Beethoven,,218
324,Beethoven,,254
312,Berlioz: Sy,,245
212,Beyond Go,,139
5,Big Ones,,3
313,Bizet: Carm,,246
148,Black Albu,,50
16,Black Sabb,,12
17,Black Sabb,,12
171,Blizzard of,,114
193,Blood Suga,,127
93,Blue Mood,,89
18,Body Coun,,13
31,Bongo Fury,,23
97,Brave New,,90
234,B-Sides 198,,150
194,By The Wa,,127
56,C√°ssia Elle,,77
57,C√°ssia Elle,,77
124,Cafezinho,,97
260,Cake: B-Sid,,196
195,Californica,,127
295,Carmina Bu,,229
32,Carnaval 2,,21
323,Carried to,,253
270,Carry On,,205
191,Cesta B√°si,,125
328,Charpentie,,258
19,Chemical W,,14
33,Chill: Brazil,,24
34,Chill: Brazil,,6
301,Chopin: Pia,,235
54,"Chronicle,",,76
55,"Chronicle,",,76
27,Cidade Neg,,19
128,Coda,,22
58,Come Tast,,58
165,Composito,,111
246,Contraban,,153
206,Core,,134
25,Da Lama A,,18
98,Dance Of D,,90
183,Dark Side O,,120
59,Deep Purpl,,58
78,Deixa Entra,,83
161,Demorou..,,108
172,Diary of a,,114
242,Diver Dow,,152
69,Djavan Ao,,80
70,Djavan Ao,,80
266,Duos II,,201
306,Elgar: Cello,,241
71,Elis Regina-,,41
116,Emergency,,92
314,English Ren,,247
265,Every Kind,,200
88,Faceless,,87
7,Facelift,,5
288,Faur√©: R,,222
99,Fear Of Th,,90
60,Fireball,,58
1,For Those,,1
322,Frank,,252
163,From The,,110
330,G√≥recki: S,,260
35,Garage Inc.,,50
149,Garage Inc.,,50
119,Get Born,,93
286,Great Oper,,220
294,Great Perfo,,228
305,Great Reco,,240
341,Great Reco,,270
339,Great Reco,,268
141,Greatest H,,100
185,Greatest H,,51
36,Greatest H,,51
37,Greatest Ki,,52
188,Green,,124
316,Grieg: Peer,,248
315,Handel: M,,208
279,Handel: Th,,213
283,Haydn: Sym,,217
38,Heart of th,,53
228,"Heroes, Se",,148
292,Holst: The,,226
216,"Hot Rocks,",,142
258,House of P,,180
129,Houses Of,,22
235,How To Dis,,150
205,In Step,,133
130,In Through,,22
79,In Your Ho,,84
80,In Your Ho,,84
255,Instant Kar,,150
39,Internation,,54
40,Into The Li,,55
100,Iron Maide,,90
131,IV,,22
335,J.S. Bach: C,,265
6,Jagged Littl,,4
122,Jorge Ben J,,46
123,Jota Quest,,96
201,Judas 0: B-,,131
150,Kill 'Em All,,50
101,Killers,,90
76,King For A,,82
61,Knocking a,,58
347,Koyaanisqa,,275
132,Led Zeppel,,22
133,Led Zeppel,,22
134,Led Zeppel,,22
4,Let There B,,1
340,Liszt - 12 √,,269
209,Live [Disc 1,,137
210,Live [Disc 2,,137
102,Live After D,,90
103,Live At Don,,90
104,Live At Don,,90
178,Live On Tw,,118
125,Living After,,98
151,Load,,50
342,Locatelli: C,,271
230,"Lost, Seaso",,149
231,"Lost, Seaso",,149
229,"Lost, Seaso",,149
261,"LOST, Seas",,149
142,Lulu Santos,,101
143,Lulu Santos,,101
62,Machine H,,58
140,Mais Do M,,99
199,Maquinara,,130
302,Mascagni:,,236
152,Master Of,,50
326,Mendelsso,,256
41,Meus Mom,,56
207,Mezmerize,,135
157,Miles Ahea,,68
158,Milton Nas,,42
159,Minas,,42
42,Minha Hist,,57
23,Minha Hist,,17
144,Misplaced,,102
43,MK III The,,58
345,Monteverd,,273
204,Morning D,,53
162,Motley Cru,,109
317,Mozart Gal,,249
346,Mozart: Ch,,274
320,Mozart: Sy,,248
282,Mozart: Wi,,216
263,Muso Ko,,198
221,My Genera,,144
83,My Way: T,,85
28,Na Pista,,20
164,Nevermind,,110
189,New Adven,,124
186,News Of Th,,51
338,Nielsen: Th,,267
173,No More T,,114
105,No Prayer,,90
217,No Security,,142
200,O Samba P,,130
166,Olodum,,112
81,One By On,,84
176,Original So,,116
184,Os C√£es L,,121
11,Out Of Exil,,8
187,Out Of Tim,,122
68,Outbreak,,79
274,Pachelbel:,,208
309,Palestrina:,,244
293,Pavarotti's,,227
179,Pearl Jam,,118
44,Physical Gr,,22
135,Physical Gr,,22
106,Piece Of M,,90
9,Plays Meta,,7
236,Pop,,150
107,Powerslave,,90
21,Prenda Mi,,16
136,Presence,,22
310,Prokofiev:,,245
298,Prokofiev:,,232
336,Prokofiev:,,248
291,Puccini: M,,225
333,Purcell: Mu,,263
331,Purcell: Th,,261
213,Pure Cult:,,139
63,Purpendicu,,58
86,Quanta Ge,,27
87,Quanta Ge,,27
262,Quiet Song,,197
259,Radio Brasi,,36
237,Rattle And,,150
192,Raul Seixas,,126
264,Realize,,199
153,ReLoad,,50
343,Respighi:Pi,,226
3,Restless an,,2
196,Retrospect,,128
271,Revelation,,8
154,Ride The Li,,50
180,Riot Act,,118
108,Rock In Rio,,90
109,Rock In Rio,,90
84,Roda De Fu,,86
202,Rotten App,,131
45,Sambas De,,21
197,Santana - A,,59
198,Santana Liv,,59
299,Scheheraza,,233
344,Schubert: T,,272
318,SCRIABIN:,,250
146,Seek And S,,104
222,Serie Sem,,145
223,Serie Sem,,145
110,Seventh So,,90
115,Sex Machin,,91
303,Sibelius: Fi,,237
281,Sir Neville,,215
64,Slaves And,,58
111,Somewher,,90
329,South Ame,,259
22,Sozinho Re,,16
256,Speak of th,,114
155,St. Anger,,50
65,Stormbring,,58
311,Strauss: W,,226
46,Supernatur,,59
121,Surfing wit,,95
117,Synkronize,,92
337,Szymanow,,266
219,Tangents,,143
308,Tchaikovsk,,243
289,Tchaikovsk,,223
269,Temple of,,204
181,Ten,,118
66,The Battle,,58
177,The Beast L,,117
238,The Best O,,150
268,The Best of,,203
13,The Best O,,10
20,The Best O,,15
47,The Best of,,37
147,The Best O,,105
190,The Best O,,124
243,The Best O,,152
82,The Colour,,84
72,The Cream,,81
214,The Doors,,140
48,The Essent,,68
49,The Essent,,68
50,The Final C,,58
290,The Last Ni,,224
112,The Numb,,90
249,"The Office,",,156
250,"The Office,",,156
251,"The Office,",,156
215,The Police,,141
77,The Real T,,82
118,The Return,,92
211,The Singles,,138
137,The Song R,,22
138,The Song R,,22
332,The Ultima,,262
280,The World,,214
113,The X Facto,,90
220,Transmissi,,143
174,Tribute,,114
241,UB40 The B,,151
252,Un-Led-Ed,,157
73,Unplugged,,81
126,Unplugged,,52
51,Up An' Ato,,69
91,Use Your Il,,88
92,Use Your Il,,88
244,Van Halen,,152
245,Van Halen,,152
67,Vault: Def,,78
52,Vin√-cius D,,70
247,Vinicius De,,72
114,Virtual XI,,90
275,Vivaldi: Th,,209
225,Volume Do,,146
218,Voodoo Lo,,142
53,Vozes do M,,21
182,Vs.,,118
287,Wagner: Fa,,221
175,Walking Int,,115
239,War,,150
8,Warner 25,,6
334,Weill: The,,264
267,Worlds,,202
240,Zooropa,,150
